episode_reward_max,episode_reward_min,episode_reward_mean,episode_len_mean,episodes_this_iter,num_faulty_episodes,num_healthy_workers,num_in_flight_async_reqs,num_remote_worker_restarts,num_agent_steps_sampled,num_agent_steps_trained,num_env_steps_sampled,num_env_steps_trained,num_env_steps_sampled_this_iter,num_env_steps_trained_this_iter,num_env_steps_sampled_throughput_per_sec,num_env_steps_trained_throughput_per_sec,timesteps_total,num_steps_trained_this_iter,agent_timesteps_total,done,episodes_total,training_iteration,trial_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,checkpoint_dir_name,info/num_env_steps_sampled,info/num_env_steps_trained,info/num_agent_steps_sampled,info/num_agent_steps_trained,sampler_results/episode_reward_max,sampler_results/episode_reward_min,sampler_results/episode_reward_mean,sampler_results/episode_len_mean,sampler_results/episodes_this_iter,sampler_results/num_faulty_episodes,hist_stats/episode_reward,hist_stats/episode_lengths,timers/training_iteration_time_ms,timers/sample_time_ms,timers/synch_weights_time_ms,counters/num_env_steps_sampled,counters/num_env_steps_trained,counters/num_agent_steps_sampled,counters/num_agent_steps_trained,perf/cpu_util_percent,perf/ram_util_percent,sampler_results/hist_stats/episode_reward,sampler_results/hist_stats/episode_lengths,info/learner/__all__/num_agent_steps_trained,info/learner/__all__/num_env_steps_trained,info/learner/__all__/total_loss,info/learner/default_policy/total_loss,info/learner/default_policy/policy_loss,info/learner/default_policy/vf_loss,info/learner/default_policy/vf_loss_unclipped,info/learner/default_policy/vf_explained_var,info/learner/default_policy/entropy,info/learner/default_policy/mean_kl_loss,info/learner/default_policy/default_optimizer_lr,info/learner/default_policy/curr_lr,info/learner/default_policy/curr_entropy_coeff,info/learner/default_policy/curr_kl_coeff
nan,nan,nan,nan,0,0,3,0,0,1024,0,512,0,512,0,25.64888865654422,0.0,512,0,1024,False,0,1,31dd4_00000,2025-05-08_17-41-27,1746722487,19.96778154373169,19.96778154373169,48584,SUMO,10.0.2.15,19.96778154373169,1,checkpoint_000000,512,0,1024,0,nan,nan,nan,nan,0,0,[],[],19961.836,17940.727,69.664,512,0,1024,0,26.95217391304348,71.98695652173913,[],[],64.0,1024.0,1.6264845307916402,1.6264845307916402,-0.02271617893129587,6.851730903983116,67.4683275461197,0.001995125412940979,0.6840660698711872,0.023372932221452154,2e-05,2e-05,0.1,0.30000001192092896
nan,nan,nan,nan,0,0,3,0,0,2048,0,1024,0,512,0,79.98520767074226,0.0,1024,0,2048,False,0,2,31dd4_00000,2025-05-08_17-41-33,1746722493,6.428319692611694,26.396101236343384,48584,SUMO,10.0.2.15,26.396101236343384,2,,1024,0,2048,0,nan,nan,nan,nan,0,0,[],[],13181.497,11460.438,72.421,1024,0,2048,0,23.512500000000003,71.92500000000001,[],[],64.0,1024.0,0.3010744215920568,0.3010744215920568,-0.0020145939430221914,1.4812255411336082,5.532190025124874,-0.4255651369690895,0.675858660787344,0.001228313038818385,2e-05,2e-05,0.1,0.15000000596046448
nan,nan,nan,nan,0,0,3,0,0,3072,0,1536,0,512,0,103.71378081940644,0.0,1536,0,3072,False,0,3,31dd4_00000,2025-05-08_17-41-38,1746722498,4.965810298919678,31.36191153526306,48584,SUMO,10.0.2.15,31.36191153526306,3,,1536,0,3072,0,nan,nan,nan,nan,0,0,[],[],10433.208,8822.195,81.226,1536,0,3072,0,20.75,72.07499999999999,[],[],64.0,1024.0,-0.06598068090970628,-0.06598068090970628,0.0011464292707387357,0.001361176626778615,0.001361176626778615,-0.8622296750545502,0.6753674130886793,0.0004622555862399125,2e-05,2e-05,0.1,0.07500000298023224
nan,nan,nan,nan,0,0,3,0,0,4096,0,2048,0,512,0,65.18175126533237,0.0,2048,0,4096,False,0,4,31dd4_00000,2025-05-08_17-41-46,1746722506,7.863984823226929,39.22589635848999,48584,SUMO,10.0.2.15,39.22589635848999,4,,2048,0,4096,0,nan,nan,nan,nan,0,0,[],[],9788.637,8205.996,87.447,2048,0,4096,0,24.966666666666665,72.13333333333334,[],[],64.0,1024.0,-0.07099778515330399,-0.07099778515330399,-0.005660084029659629,0.0005717029690003983,0.0005717029690003983,-0.9040211282670498,0.6593448631465435,0.006051480387703379,2e-05,2e-05,0.1,0.07500000298023224
nan,nan,nan,nan,0,0,3,0,0,5120,0,2560,0,512,0,69.84120470572319,0.0,2560,0,5120,False,0,5,31dd4_00000,2025-05-08_17-41-53,1746722513,7.343535423278809,46.5694317817688,48584,SUMO,10.0.2.15,46.5694317817688,5,,2560,0,5120,0,nan,nan,nan,nan,0,0,[],[],9297.087,7746.57,80.53,2560,0,5120,0,22.7625,72.125,[],[],64.0,1024.0,-0.06440770074268584,-0.06440770074268584,-0.00016787475906312465,0.000266409859432315,0.000266409859432315,-0.9993815936148167,0.6445152278989553,0.0019345942697377438,2e-05,2e-05,0.1,0.03750000149011612
nan,nan,nan,nan,0,0,3,0,0,6144,0,3072,0,512,0,80.98592041039112,0.0,3072,0,6144,False,0,6,31dd4_00000,2025-05-08_17-42-00,1746722520,6.328057050704956,52.897488832473755,48584,SUMO,10.0.2.15,52.897488832473755,6,,3072,0,6144,0,nan,nan,nan,nan,0,0,[],[],8801.212,7256.521,94.035,3072,0,6144,0,33.24285714285714,72.21428571428571,[],[],64.0,1024.0,-0.07180272673431318,-0.07180272673431318,-0.006767140980809927,0.0001267557435994604,0.0001267557435994604,-0.9914964780211448,0.6523963462561368,0.004596290342367126,2e-05,2e-05,0.1,0.01875000074505806
nan,nan,nan,nan,0,0,3,0,0,7168,0,3584,0,512,0,66.99147400271163,0.0,3584,0,7168,False,0,7,31dd4_00000,2025-05-08_17-42-07,1746722527,7.655297756195068,60.55278658866882,48584,SUMO,10.0.2.15,60.55278658866882,7,,3584,0,7168,0,nan,nan,nan,nan,0,0,[],[],8635.715,7096.029,83.932,3584,0,7168,0,18.18888888888889,72.33333333333333,[],[],64.0,1024.0,-0.0652359529340174,-0.0652359529340174,-0.0002194298431277275,5.397143356162814e-05,5.397143356162814e-05,-0.9966643184423447,0.6503739632666111,0.0003936980412404978,2e-05,2e-05,0.1,0.00937500037252903
nan,nan,nan,nan,0,0,3,0,0,8192,0,4096,0,512,0,92.192070580125,0.0,4096,0,8192,False,0,8,31dd4_00000,2025-05-08_17-42-13,1746722533,5.56458044052124,66.11736702919006,48584,SUMO,10.0.2.15,66.11736702919006,8,,4096,0,8192,0,nan,nan,nan,nan,0,0,[],[],8250.45,6703.101,76.308,4096,0,8192,0,29.185714285714287,72.32857142857144,[],[],64.0,1024.0,-0.07046504630488926,-0.07046504630488926,-0.005718328687362373,2.3715904242749274e-05,2.3715904242749274e-05,-0.9576254762709141,0.648055813089013,0.0056467301315372255,2e-05,2e-05,0.1,0.00937500037252903
nan,nan,nan,nan,0,0,3,0,0,9216,0,4608,0,512,0,72.90710945638722,0.0,4608,0,9216,False,0,9,31dd4_00000,2025-05-08_17-42-20,1746722540,7.0302574634552,73.14762449264526,48584,SUMO,10.0.2.15,73.14762449264526,9,,4608,0,9216,0,nan,nan,nan,nan,0,0,[],[],8114.023,6566.24,69.672,4608,0,9216,0,18.875,72.4125,[],[],64.0,1024.0,-0.06708290035021491,-0.06708290035021491,-0.0038596729515120386,9.069581260945369e-06,9.069581260945369e-06,-0.9750111378729344,0.6323030423372984,0.0005132454518587792,2e-05,2e-05,0.1,0.004687500186264515
-3.907985046680551e-14,-1.3722356584366935e-13,-8.332802040970459e-14,1600.0,3,0,3,0,0,10240,0,5120,0,512,0,28.666500312931106,0.0,5120,0,10240,False,3,10,31dd4_00000,2025-05-08_17-42-38,1746722558,17.87554693222046,91.02317142486572,48584,SUMO,10.0.2.15,91.02317142486572,10,,5120,0,10240,0,-3.907985046680551e-14,-1.3722356584366935e-13,-8.332802040970459e-14,1600.0,3,0,"[-3.907985046680551e-14, -7.36806449186389e-14, -1.3722356584366935e-13]","[1600, 1600, 1600]",9088.675,7542.328,64.353,5120,0,10240,0,31.639130434782604,72.5478260869565,"[-3.907985046680551e-14, -7.36806449186389e-14, -1.3722356584366935e-13]","[1600, 1600, 1600]",64.0,1024.0,1.051592803001404,1.051592803001404,-0.015663062548264862,4.521583326945608,24.18394618038327,-0.12748489454388617,0.6322504814714194,0.01815392451066202,2e-05,2e-05,0.1,0.004687500186264515
